
#Representable Numbers with 0 Small Step Chains
-2 1* 1  @(p)

#Representable Numbers with 1 Small Step Chains
166 7* 3  @(p)+@(q)+@(r)+@(-p+q+r+2)+@(-2p+2q+r+1)+@(-2p+q+2r+1)+@(-3p+2q+2r+2)
167 7* 3  @(p)+@(q)+@(r)+@(-p+q+r+2)+@(-2p+2q+r+1)+@(-2p+q+2r+2)+@(-3p+2q+2r+3)
168 7* 3  @(p)+@(q)+@(r)+@(-p+q+r+2)+@(-2p+2q+r+2)+@(-2p+q+2r+1)+@(-3p+2q+2r+3)
169 8* 1  @(p)+@(p-9)+@(p-10)+@(p-11)+@(p-12)+@(p-13)+@(p-14)+@(p-15)
170 8* 1  @(p)+@(p-7)+@(p-9)+@(p-10)+@(p-11)+@(p-12)+@(p-13)+@(p-14)
171 8* 1  @(p)+@(p-6)+@(p-7)+@(p-9)+@(p-10)+@(p-11)+@(p-12)+@(p-13)
172 8* 2  @(p)+@(p-5)+@(p-6)+@(p-7)+@(q)+@(q-5)+@(q-6)+@(q-7)
173 8* 2  @(p)+@(p-5)+@(p-6)+@(p-7)+@(q)+@(q-3)+@(q-5)+@(q-6)
174 8* 2  @(p)+@(p-5)+@(p-6)+@(p-7)+@(q)+@(q-2)+@(q-3)+@(q-5)
175 8* 2  @(p)+@(p-5)+@(p-6)+@(p-7)+@(q)+@(q-1)+@(q-3)+@(q-4)
176 8* 2  @(p)+@(p-5)+@(p-6)+@(p-7)+@(q)+@(q-1)+@(q-2)+@(q-3)
177 8* 2  @(p)+@(p-3)+@(p-5)+@(p-6)+@(q)+@(q-2)+@(q-3)+@(q-5)
178 8* 2  @(p)+@(p-3)+@(p-5)+@(p-6)+@(q)+@(q-1)+@(q-2)+@(q-3)
179 8* 3  @(p)+@(p-3)+@(q)+@(q-3)+@(r)+@(r-1)+@(-p+q+r)+@(-p+q+r-1)
180 8* 3  @(p)+@(p-3)+@(q)+@(q-3)+@(r)+@(r-1)+@(-p+q+r+1)+@(-p+q+r)
181 8* 3  @(p)+@(p-3)+@(q)+@(q-1)+@(r)+@(r-3)+@(-p+q+r)+@(-p+q+r-1)
182 8* 3  @(p)+@(p-3)+@(q)+@(q-1)+@(r)+@(r-3)+@(-p+q+r+1)+@(-p+q+r)
183 8* 3  @(p)+@(p-3)+@(q)+@(q-1)+@(r)+@(r-1)+@(-p+q+r)+@(-p+q+r-1)
184 8* 3  @(p)+@(p-3)+@(q)+@(q-1)+@(r)+@(r-1)+@(-p+q+r+1)+@(-p+q+r)
185 8* 3  @(p)+@(p-3)+@(q)+@(q-1)+@(r)+@(r-1)+@(-p+q+r+2)+@(-p+q+r+1)
186 8* 2  @(p)+@(q)+@(p-5)+@(p-6)+@(p-7)+@(q-5)+@(q-6)+@(q-7)
187 8* 4  @(p)+@(q)+@(r)+@(-p+q+r)+@(s)+@(-p+q+s)+@(-p+r+s)+@(-2p+q+r+s)
188 8* 4  @(p)+@(q)+@(r)+@(-p+q+r)+@(s)+@(-p+q+s)+@(-p+r+s+1)+@(-2p+q+r+s+1)
189 8* 4  @(p)+@(q)+@(r)+@(-p+q+r)+@(s)+@(-p+q+s+1)+@(-p+r+s)+@(-2p+q+r+s+1)
190 8* 4  @(p)+@(q)+@(r)+@(-p+q+r)+@(s)+@(-p+q+s+1)+@(-p+r+s+1)+@(-2p+q+r+s+2)
191 8* 4  @(p)+@(q)+@(r)+@(-p+q+r+1)+@(s)+@(-p+q+s)+@(-p+r+s)+@(-2p+q+r+s+1)
192 8* 4  @(p)+@(q)+@(r)+@(-p+q+r+1)+@(s)+@(-p+q+s)+@(-p+r+s+1)+@(-2p+q+r+s+2)
193 8* 4  @(p)+@(q)+@(r)+@(-p+q+r+1)+@(s)+@(-p+q+s+1)+@(-p+r+s)+@(-2p+q+r+s+2)
194 8* 4  @(p)+@(q)+@(r)+@(s)+@(-p+q+r)+@(-p+q+s)+@(-p+r+s)+@(-2p+q+r+s)
195 8* 4  @(p)+@(q)+@(r)+@(s)+@(-p+q+r)+@(-p+q+s)+@(-p+r+s+1)+@(-2p+q+r+s+1)
196 8* 4  @(p)+@(q)+@(r)+@(s)+@(-p+q+r)+@(-p+q+s+1)+@(-p+r+s)+@(-2p+q+r+s+1)
197 8* 4  @(p)+@(q)+@(r)+@(s)+@(-p+q+r)+@(-p+q+s+1)+@(-p+r+s+1)+@(-2p+q+r+s+2)
198 8* 4  @(p)+@(q)+@(r)+@(s)+@(-p+q+r+1)+@(-p+q+s)+@(-p+r+s)+@(-2p+q+r+s+1)
199 8* 4  @(p)+@(q)+@(r)+@(s)+@(-p+q+r+1)+@(-p+q+s)+@(-p+r+s+1)+@(-2p+q+r+s+2)
200 8* 4  @(p)+@(q)+@(r)+@(s)+@(-p+q+r+1)+@(-p+q+s+1)+@(-p+r+s)+@(-2p+q+r+s+2)


